step,train_loss,train_acc,dev_loss,dev_acc
0,31.83295440673828,0.3185,396.3420715332031,0.3191428571428571
100,1.9833786487579346,0.37625,1.7467738389968872,0.36714285714285716
200,1.5513474941253662,0.39775,1.5762892961502075,0.39585714285714285
300,1.4369440078735352,0.45725,1.4620461463928223,0.452
400,1.2134953737258911,0.474,1.261729121208191,0.4947142857142857
500,1.0622326135635376,0.553,1.1288901567459106,0.5578571428571428
600,1.0640723705291748,0.5475,1.101108431816101,0.5524285714285714
700,1.3204846382141113,0.589,1.1694715023040771,0.5877142857142857
800,1.0453426837921143,0.565,1.087583065032959,0.5722857142857143
900,1.1977782249450684,0.6325,0.9472193717956543,0.6211428571428571
1000,1.1068700551986694,0.59975,1.0724185705184937,0.6052857142857143
1100,1.0977946519851685,0.61725,1.1542749404907227,0.6192857142857143
1200,1.3121390342712402,0.56475,1.3559767007827759,0.5645714285714286
1300,1.3140225410461426,0.50225,1.2296665906906128,0.522
1400,1.1599453687667847,0.5505,1.109102487564087,0.5535714285714286
1500,0.9536074995994568,0.50925,1.3035008907318115,0.508
1600,1.1034232378005981,0.5405,1.1845189332962036,0.5427142857142857
1700,1.117120385169983,0.52675,1.2631477117538452,0.5248571428571429
1800,1.092159390449524,0.449,1.5035468339920044,0.4514285714285714
1900,1.168332576751709,0.50625,1.2749251127243042,0.49957142857142856
2000,1.2679719924926758,0.564,1.080123782157898,0.554
2100,1.3508175611495972,0.52075,1.3889718055725098,0.5285714285714286
2200,1.4827619791030884,0.4205,1.3487281799316406,0.4288571428571429
2300,0.9279820322990417,0.532,1.3704959154129028,0.5252857142857142
2400,1.754002332687378,0.35775,2.244737386703491,0.3575714285714286
2500,1.431342363357544,0.44475,1.6103951930999756,0.43985714285714284
2600,1.3623625040054321,0.4165,1.4528611898422241,0.42857142857142855
2700,1.3483418226242065,0.3915,1.5975964069366455,0.4017142857142857
2800,1.5599497556686401,0.4435,1.5989018678665161,0.458
2900,1.4837015867233276,0.40425,1.496086597442627,0.409
3000,1.4817317724227905,0.3755,1.9749970436096191,0.3924285714285714
3100,1.616094946861267,0.4335,1.5119765996932983,0.4452857142857143
3200,2.534322500228882,0.27425,2.1878459453582764,0.2915714285714286
3300,1.7158886194229126,0.37275,1.759092926979065,0.39271428571428574
3400,1.8430697917938232,0.29925,1.928160548210144,0.3017142857142857
