step,train_loss,train_acc,dev_loss,dev_acc
0,3.040210247039795,0.1245,2.657480001449585,0.12828571428571428
100,0.8326936364173889,0.747,0.7042856216430664,0.7384285714285714
200,0.4411216974258423,0.79375,0.5746500492095947,0.7877142857142857
300,0.540148138999939,0.80625,0.568305253982544,0.7962857142857143
400,0.4178132116794586,0.8335,0.49885040521621704,0.8224285714285714
500,0.5426321625709534,0.818,0.5106470584869385,0.8174285714285714
600,0.3041679859161377,0.83575,0.4992918074131012,0.8282857142857143
700,0.36912989616394043,0.8545,0.43965959548950195,0.8445714285714285
800,0.32286012172698975,0.8615,0.44072338938713074,0.8518571428571429
900,0.3288688659667969,0.8755,0.4204109311103821,0.8571428571428571
1000,0.3740876317024231,0.8715,0.4037962853908539,0.8592857142857143
1100,0.38229092955589294,0.877,0.38907572627067566,0.8664285714285714
1200,0.3856540024280548,0.88,0.40585488080978394,0.8614285714285714
1300,0.5167648792266846,0.88025,0.39082854986190796,0.866
1400,0.3637303113937378,0.8805,0.3934086561203003,0.8594285714285714
1500,0.2819405496120453,0.88725,0.36964982748031616,0.871
1600,0.3882884979248047,0.889,0.37335118651390076,0.8718571428571429
1700,0.2208550125360489,0.904,0.3681716024875641,0.8764285714285714
1800,0.3307831585407257,0.8885,0.3628597855567932,0.8754285714285714
1900,0.28430500626564026,0.888,0.37132853269577026,0.8717142857142857
2000,0.4003863036632538,0.88575,0.3895418047904968,0.8654285714285714
2100,0.3495040237903595,0.88825,0.3695228397846222,0.871
2200,0.28581520915031433,0.88825,0.3865728974342346,0.8667142857142857
2300,0.2831989526748657,0.89825,0.3488902747631073,0.8812857142857143
2400,0.25639107823371887,0.895,0.3564811944961548,0.8751428571428571
2500,0.31668195128440857,0.90375,0.34825390577316284,0.8847142857142857
2600,0.2908274531364441,0.89025,0.35359278321266174,0.8792857142857143
2700,0.43500304222106934,0.89525,0.3494279384613037,0.8794285714285714
2800,0.28462791442871094,0.905,0.33226272463798523,0.8865714285714286
2900,0.2855655252933502,0.90275,0.3441479504108429,0.8797142857142857
3000,0.2030077874660492,0.904,0.3514940142631531,0.8832857142857143
3100,0.3700655400753021,0.91175,0.3370589017868042,0.8851428571428571
3200,0.4767225682735443,0.91075,0.3229828178882599,0.8878571428571429
3300,0.35817965865135193,0.91375,0.33152103424072266,0.8884285714285715
3400,0.3181176781654358,0.89925,0.3299243450164795,0.886
3500,0.1938258409500122,0.9125,0.31850573420524597,0.8864285714285715
3600,0.2997078001499176,0.91475,0.31546658277511597,0.8898571428571429
3700,0.20577353239059448,0.9085,0.34545835852622986,0.8825714285714286
3800,0.29175764322280884,0.90125,0.3405962884426117,0.8788571428571429
3900,0.206769660115242,0.92375,0.3220284581184387,0.8887142857142857
4000,0.2584591209888458,0.91775,0.32523971796035767,0.8897142857142857
4100,0.24263231456279755,0.914,0.32636234164237976,0.8915714285714286
4200,0.2071525901556015,0.919,0.3193851709365845,0.8918571428571429
4300,0.1010318249464035,0.928,0.3145527243614197,0.8905714285714286
4400,0.16758272051811218,0.9275,0.31326717138290405,0.8954285714285715
4500,0.1405506730079651,0.9225,0.32089176774024963,0.8867142857142857
4600,0.25400054454803467,0.92625,0.3073904514312744,0.8984285714285715
4700,0.38557398319244385,0.92325,0.3208830952644348,0.8932857142857142
4800,0.1710994392633438,0.932,0.31240782141685486,0.897
4900,0.13598348200321198,0.92875,0.3172973692417145,0.8925714285714286
