step,train_loss,train_acc,dev_loss,dev_acc
0,69.42010498046875,0.09125,45.741458892822266,0.08671428571428572
100,1.9424278736114502,0.6085,1.8868680000305176,0.5984285714285714
200,0.8109563589096069,0.7235,1.0231225490570068,0.7225714285714285
300,0.8929075002670288,0.72875,0.8879991769790649,0.7337142857142858
400,0.827607274055481,0.75,0.786515474319458,0.7592857142857142
500,0.4239186942577362,0.7785,0.7164311408996582,0.7727142857142857
600,0.6850256323814392,0.78275,0.7034054398536682,0.7774285714285715
700,0.5793671607971191,0.786,0.6733512282371521,0.778
800,0.5532708764076233,0.8015,0.6661374568939209,0.7867142857142857
900,0.7431384921073914,0.79975,0.6584731340408325,0.7882857142857143
1000,0.6081868410110474,0.799,0.6706779599189758,0.7811428571428571
1100,0.5684329271316528,0.79575,0.6380218267440796,0.7877142857142857
1200,0.9109771847724915,0.78375,0.6555163860321045,0.7912857142857143
1300,0.5299465656280518,0.80625,0.6316295266151428,0.7914285714285715
1400,0.49841880798339844,0.80425,0.6545673608779907,0.788
1500,0.5756229162216187,0.78875,0.6434262990951538,0.7898571428571428
1600,0.4985516667366028,0.80375,0.6472301483154297,0.7892857142857143
1700,0.5695137977600098,0.81125,0.612078070640564,0.7952857142857143
1800,0.5653467774391174,0.8005,0.6346859931945801,0.7972857142857143
1900,0.5898908376693726,0.8145,0.6303454041481018,0.7935714285714286
2000,0.3878651559352875,0.81825,0.6256029605865479,0.7887142857142857
2100,0.5495010614395142,0.82,0.6087318658828735,0.8011428571428572
2200,0.5827651023864746,0.82275,0.599492609500885,0.8064285714285714
2300,0.4006655216217041,0.81525,0.5980952382087708,0.8091428571428572
2400,0.7426350116729736,0.832,0.5769283175468445,0.8118571428571428
2500,0.46810054779052734,0.81725,0.5856107473373413,0.8068571428571428
2600,0.5153825283050537,0.82875,0.5894172191619873,0.8081428571428572
2700,0.764853298664093,0.828,0.5970306992530823,0.8075714285714286
2800,0.4562855064868927,0.8245,0.5816319584846497,0.811
2900,0.519224226474762,0.824,0.6064029932022095,0.8068571428571428
3000,0.4524797201156616,0.82375,0.5919642448425293,0.8057142857142857
3100,0.4736459255218506,0.82075,0.6107247471809387,0.8025714285714286
3200,0.5783681273460388,0.82225,0.6132844686508179,0.8001428571428572
3300,0.5143281817436218,0.82475,0.6030870079994202,0.8044285714285714
3400,0.488611102104187,0.82875,0.5903259515762329,0.8081428571428572
