step,train_loss,train_acc,dev_loss,dev_acc
0,45.640525817871094,0.22175,34.36994934082031,0.21914285714285714
100,0.806837260723114,0.7165,0.8919431567192078,0.7062857142857143
200,0.6026222109794617,0.76275,0.6961874961853027,0.7577142857142857
300,0.3518869876861572,0.7815,0.6090739369392395,0.7925714285714286
400,0.6099536418914795,0.80475,0.5898135900497437,0.7965714285714286
500,0.516191840171814,0.79975,0.5721734166145325,0.7902857142857143
600,0.3741302192211151,0.824,0.5224567651748657,0.8145714285714286
700,0.4230393171310425,0.82125,0.504386305809021,0.8182857142857143
800,0.46359047293663025,0.8355,0.48599931597709656,0.8324285714285714
900,0.519016444683075,0.83825,0.4942803680896759,0.8245714285714286
1000,0.5728527903556824,0.843,0.4804861843585968,0.8364285714285714
1100,0.39847323298454285,0.838,0.4697857201099396,0.834
1200,0.5550353527069092,0.851,0.47110310196876526,0.8355714285714285
1300,0.5073559284210205,0.82175,0.5177691578865051,0.8141428571428572
1400,0.4744266867637634,0.82475,0.4752846658229828,0.826
1500,0.3633343577384949,0.83925,0.45833325386047363,0.8444285714285714
1600,0.43672171235084534,0.852,0.44574174284935,0.8478571428571429
1700,0.3155961334705353,0.849,0.4593861997127533,0.8434285714285714
1800,0.5204952359199524,0.84975,0.4772011637687683,0.8311428571428572
1900,0.4213944673538208,0.8535,0.469114750623703,0.8344285714285714
2000,0.5015020966529846,0.8585,0.4437488913536072,0.8467142857142858
2100,0.40601882338523865,0.85225,0.47492843866348267,0.838
2200,0.3790893852710724,0.86125,0.4474257528781891,0.8437142857142857
2300,0.2115529626607895,0.86175,0.4499032199382782,0.8504285714285714
2400,0.37855660915374756,0.829,0.5079489350318909,0.8148571428571428
2500,0.5598251223564148,0.85375,0.43508055806159973,0.8438571428571429
2600,0.5217068195343018,0.85075,0.42170003056526184,0.8541428571428571
2700,0.3929939270019531,0.84625,0.444870263338089,0.8391428571428572
2800,0.39982691407203674,0.868,0.4350651800632477,0.8492857142857143
2900,0.2525182366371155,0.8505,0.451778769493103,0.8472857142857143
3000,0.3887549340724945,0.867,0.4468654990196228,0.8492857142857143
3100,0.4088263213634491,0.867,0.4177006483078003,0.8567142857142858
3200,0.44852831959724426,0.863,0.41682499647140503,0.8488571428571429
3300,0.35656046867370605,0.85925,0.4396907091140747,0.8418571428571429
3400,0.32908424735069275,0.85325,0.423306941986084,0.8481428571428572
