step,train_loss,train_acc,dev_loss,dev_acc
0,34.62360763549805,0.087,38.009273529052734,0.086
100,1.3558626174926758,0.66725,1.3409315347671509,0.6542857142857142
200,0.612101674079895,0.69,1.1425254344940186,0.6751428571428572
300,0.9710763692855835,0.749,0.8669365048408508,0.7374285714285714
400,0.8279200792312622,0.74625,0.8299897909164429,0.7348571428571429
500,0.9630556702613831,0.77525,0.7673515677452087,0.759
600,0.6214686036109924,0.77125,0.7651662826538086,0.7615714285714286
700,0.6702520251274109,0.7745,0.7438710927963257,0.7694285714285715
800,0.6862976551055908,0.77025,0.7366615533828735,0.7505714285714286
900,0.616966724395752,0.7705,0.7365463376045227,0.7651428571428571
1000,0.7382504940032959,0.77625,0.7354151010513306,0.7684285714285715
1100,0.6958096027374268,0.77125,0.7253791689872742,0.7542857142857143
1200,0.46709945797920227,0.786,0.6976536512374878,0.776
1300,0.6411554217338562,0.818,0.6606957912445068,0.7915714285714286
1400,0.6100438833236694,0.784,0.6889366507530212,0.7731428571428571
1500,0.5926802158355713,0.79475,0.6492171287536621,0.7872857142857143
1600,0.5226645469665527,0.81175,0.6277477741241455,0.796
1700,0.4721660315990448,0.805,0.6428913474082947,0.7894285714285715
1800,0.7067748308181763,0.80175,0.6896803379058838,0.779
1900,0.7814782857894897,0.8015,0.6200730204582214,0.7991428571428572
2000,0.8843392729759216,0.804,0.6289319396018982,0.7882857142857143
2100,0.42015209794044495,0.79375,0.6420620083808899,0.7824285714285715
2200,0.4809034764766693,0.80975,0.6310933232307434,0.7978571428571428
2300,0.5297670364379883,0.82325,0.6049069762229919,0.8002857142857143
2400,0.4504961371421814,0.79025,0.6835336089134216,0.7702857142857142
2500,0.4367043375968933,0.808,0.6170216202735901,0.795
2600,0.586987316608429,0.8135,0.5904036164283752,0.7968571428571428
2700,0.6852967739105225,0.79125,0.6109670996665955,0.786
2800,0.6637762188911438,0.8125,0.6570090055465698,0.7918571428571428
2900,0.6071320176124573,0.81475,0.5972553491592407,0.8081428571428572
3000,0.6835649013519287,0.8225,0.6054368615150452,0.8051428571428572
3100,0.5641897320747375,0.81575,0.589546799659729,0.8044285714285714
3200,0.7458741664886475,0.8015,0.6095666885375977,0.7962857142857143
3300,0.4227026104927063,0.82275,0.5942007303237915,0.808
3400,0.5175170302391052,0.823,0.5955544114112854,0.8014285714285714
3500,0.5160502195358276,0.81125,0.6164969801902771,0.7972857142857143
3600,0.622607946395874,0.796,0.5921628475189209,0.7982857142857143
3700,0.5402633547782898,0.8185,0.585382878780365,0.8075714285714286
3800,0.519451379776001,0.8275,0.5988750457763672,0.8058571428571428
3900,0.5308818221092224,0.81925,0.6250471472740173,0.7978571428571428
4000,0.5623560547828674,0.81675,0.6264384984970093,0.7925714285714286
4100,0.6108316779136658,0.8265,0.6074252724647522,0.801
4200,0.6390912532806396,0.798,0.5761682391166687,0.8057142857142857
4300,0.5859884023666382,0.8045,0.60233473777771,0.7927142857142857
4400,0.34932011365890503,0.82325,0.6326284408569336,0.7994285714285714
4500,0.5366846323013306,0.82775,0.5980553030967712,0.807
4600,0.7419445514678955,0.816,0.6284213066101074,0.7994285714285714
4700,0.41176050901412964,0.83,0.5988291501998901,0.8011428571428572
4800,0.8032473921775818,0.82025,0.5950486063957214,0.7992857142857143
4900,0.3313519358634949,0.82025,0.6046343445777893,0.7994285714285714
