step,train_loss,train_acc,dev_loss,dev_acc
0,56.2362174987793,0.10175,83.5359878540039,0.09728571428571428
100,1.1849305629730225,0.5415,1.326880693435669,0.5581428571428572
200,0.9710900187492371,0.693,0.9432715773582458,0.6942857142857143
300,0.7300297617912292,0.73425,0.8379579782485962,0.7424285714285714
400,0.645073413848877,0.74975,0.7583591938018799,0.753
500,0.5995702147483826,0.76575,0.7154843211174011,0.7642857142857142
600,0.7239704132080078,0.7635,0.7049919366836548,0.7738571428571429
700,0.883664071559906,0.77725,0.6741095781326294,0.773
800,0.5903856754302979,0.7835,0.6465833783149719,0.7834285714285715
900,0.6348739266395569,0.7905,0.671998143196106,0.7887142857142857
1000,0.5826206207275391,0.769,0.6720530390739441,0.7827142857142857
1100,0.6553247570991516,0.793,0.6133289337158203,0.7904285714285715
1200,0.4194503724575043,0.78775,0.6323583722114563,0.7917142857142857
1300,0.49575790762901306,0.801,0.6257063746452332,0.7974285714285714
1400,0.5926682949066162,0.789,0.6076282858848572,0.797
1500,0.7367662191390991,0.79075,0.6461952924728394,0.7868571428571428
1600,0.5534665584564209,0.79725,0.5930008888244629,0.8022857142857143
1700,0.425686240196228,0.79075,0.6225824356079102,0.7935714285714286
1800,0.4851020872592926,0.7955,0.6089527606964111,0.7974285714285714
1900,0.6443626880645752,0.80625,0.6025562286376953,0.7985714285714286
2000,0.6446847319602966,0.8035,0.6019626259803772,0.8021428571428572
2100,0.43278491497039795,0.81375,0.5946261286735535,0.7977142857142857
2200,0.671267032623291,0.8195,0.5646703243255615,0.8101428571428572
2300,0.6437734961509705,0.79875,0.6263697147369385,0.7901428571428571
2400,0.5113919377326965,0.8075,0.5827269554138184,0.8087142857142857
2500,0.5653241872787476,0.821,0.5611341595649719,0.8097142857142857
2600,0.6917304992675781,0.81725,0.577870786190033,0.8071428571428572
2700,0.49432411789894104,0.814,0.5787712335586548,0.8084285714285714
2800,0.5560829043388367,0.81,0.5988182425498962,0.8037142857142857
2900,0.6398165225982666,0.80825,0.6280623078346252,0.7972857142857143
3000,0.6062344908714294,0.83175,0.6055144667625427,0.8107142857142857
3100,0.444069504737854,0.8145,0.6013550758361816,0.8065714285714286
3200,0.435763955116272,0.81975,0.5709293484687805,0.8142857142857143
3300,0.5018622875213623,0.81575,0.6068275570869446,0.8054285714285714
3400,0.5644233822822571,0.823,0.608672559261322,0.8158571428571428
